2277,-179,638,625,-1209,-841
1989,-196,-695,323,-110,-336
1997,-231,-581,125,847,46
2029,-277,-495,-58,1136,-113
2146,-292,-91,31,619,-1388
2119,-260,-116,195,-55,-2038
2104,-209,-155,243,-205,-1713
2119,-218,-183,254,-33,-1156
2082,-176,-194,496,-40,-685
2062,-198,-216,688,200,-107
2077,-195,-194,731,264,103
2086,-201,-168,818,333,334
2066,-216,-178,881,614,575
2092,-242,-136,1171,767,817
2138,-271,-147,1448,594,878
2152,-319,-173,1313,404,139
2023,-270,-183,1195,494,-1
402,301,-205,2198,4543,3319
1826,-455,-1768,791,-1100,-2713
1941,-406,-1213,409,-114,-5435
2095,-260,-59,216,-288,-5698
1948,-51,95,379,-631,-3530
1848,-123,-113,376,59,-938
2059,-327,-206,804,317,-1155
1835,-104,-238,1112,695,-1568
1795,-214,-353,-102,1159,-1410
1871,-152,-258,-41,1641,148
1877,-219,-138,-627,828,-704
1978,-173,-278,105,42,-749
1770,-79,-266,656,235,-514
1668,-90,-298,1186,1109,672
1819,-150,-90,1642,-524,1479
1955,-126,-21,1683,-879,94
1718,-130,-173,2020,-1600,171
1629,-60,-416,2494,-942,1584
1985,-335,13,873,-5706,-904
1599,-314,-43,1329,-5608,-1395
1612,-332,-175,1114,-2412,-977
1784,-346,-272,-31,434,-2250
2076,-358,-217,-1937,-478,-3204
2241,-170,-246,-1652,-1734,-3039
2155,-43,-297,-172,-2896,-2690
1986,-217,-249,349,-5073,-3191
1778,-322,-381,1828,-4824,-6316
1347,-274,-545,1767,167,-7250
1572,-273,-394,-2658,3276,-4592
2010,-163,16,-3647,3468,-2001
2100,-121,102,-1545,856,-1477
1999,-177,-56,-134,-1774,-2572
1575,-137,-251,719,-1162,-3637
1307,-143,-365,199,2846,-2368
2058,-354,-249,-1872,4134,-1406
2096,-234,-135,-1848,5342,-352
2565,-260,-162,-2330,726,-1264
2300,-71,-103,-1189,-3240,-2478
1917,95,-244,607,-4114,-1954
1645,99,-233,483,-3176,893
1637,4,-254,350,694,567
1880,-73,-371,-640,2442,-1038
2099,90,-305,-629,2324,-1784
2178,203,-145,-72,-145,-1119
1928,130,-171,1783,-1757,-836
1555,83,-332,3251,-384,-432
1383,40,-298,3539,3344,1167
1515,-121,-273,2158,4534,2265
1793,-229,-172,1315,4388,1277
1816,-13,-60,1481,2115,-330
1611,124,-221,2044,628,-1326
1322,226,-259,2836,890,-1512
1182,278,-253,3245,2602,-262
1108,212,-307,4310,5649,2573
1415,55,-302,4017,8017,3671
1625,-95,-230,3088,8237,2935
1876,-130,24,2399,5771,941
1845,-92,137,2576,1422,-2230
1657,-3,-30,2839,-1528,-4091
1506,-58,-105,4204,-3107,-4268
1364,-92,-248,4272,-3458,-4210
1307,-248,-416,1640,-223,-2518
1659,-229,-16,-3874,441,-2270
2501,-8,791,-2783,-4661,-2784
2125,-32,-146,2642,-5970,-6594
1843,195,-691,3220,-5669,-5006
1546,404,-628,2302,-2093,220
1822,268,-158,2529,-700,3310
2001,36,-8,3435,1444,1924
2271,-121,-2,1580,2482,-200
2624,-96,-12,-14,1970,-2206
2770,97,22,-177,951,-2819
2776,229,112,1476,-683,-1858
2640,87,13,3539,-491,-109
2654,-45,-28,4282,-673,727
2647,20,-80,4703,-1257,276
2519,-1,-173,4981,-1142,-570
2457,52,-331,5615,487,-677
2334,169,-295,5935,2010,835
2366,186,-98,6065,3672,4152
2411,-4,-20,4867,4416,6854
2523,-125,222,3150,3886,7010
2518,-213,302,2910,3220,3294
2559,-190,176,2153,2062,-1792
2463,-18,46,1598,3054,-4977
2432,80,-58,2124,6008,-3689
2583,11,-1,2852,7550,-292
2734,-214,116,3207,7652,986
2690,-405,142,2487,6657,584
2658,-354,240,1409,5295,-383
2711,-9,272,1519,3468,-2198
2607,89,221,1066,1937,-3785
2355,217,75,2336,2461,-2833
2555,140,-59,1799,2921,-1113
2767,-41,61,1236,2239,-208
2496,-247,-20,1861,2974,-2406
2439,-219,-22,749,3204,-3111
2462,-173,167,-284,2778,-4695
2277,-129,79,-515,2517,-4595
2299,5,-8,-465,2787,-3421
2448,145,95,-423,2466,-2225
2448,160,284,453,1921,-1206
2435,38,280,1218,200,-1535
2214,65,102,2186,-163,-1371
2185,45,113,1776,896,-74
2239,-16,296,1504,1273,290
2219,-35,420,1333,264,68
2211,61,344,941,-742,-282
2148,101,212,846,-562,-737
2085,166,211,748,129,-403
2090,175,231,806,1047,47
2085,184,289,856,1434,505
2195,69,366,757,802,174
2344,9,389,376,-1294,-1290
2267,6,251,632,-2764,-2516
2177,97,96,951,-2490,-1966
2162,164,88,1453,-2235,-1151
2103,153,166,2331,-1777,-1058
2174,29,33,1271,-1560,-1118
2221,97,135,1160,-1240,-1758
2299,134,126,1365,-1783,-1845
2281,160,79,1905,-752,-312
2287,125,119,1331,39,104
2372,15,192,735,22,-75
2470,-20,239,110,-856,-870
2517,-17,162,-70,-1776,-1483
2456,73,47,-20,-1645,-1485
2405,169,-1,60,-410,-501
2420,171,15,301,882,541
2530,48,43,404,1372,1104
2673,-10,77,211,1216,539
2723,-39,125,-13,189,62
2679,-36,88,348,-370,45
2708,-63,9,466,-125,807
2710,-83,35,341,371,800
2698,-61,36,-17,757,345
2764,-77,6,-128,1070,-58
2762,-100,-93,-64,1648,-38
2788,-98,-76,-168,1948,-122
2813,-119,50,-82,1584,-128
2842,-142,109,228,616,-302
2858,-202,-26,-570,383,312
2846,-214,-65,-853,1378,804
2940,-244,-32,-811,2100,775
3133,-283,48,-996,1833,124
3193,-283,-9,-1403,801,-825
3137,-163,112,-1069,797,-278
3127,-178,42,-955,174,-501
3262,-217,104,-1330,104,678
3351,-192,242,-1999,-1568,1541
3386,-98,89,-2204,-3374,1555
3428,-174,-171,-2563,-2514,2203
3576,-296,-27,-2727,-2159,2219
3616,-263,93,-2874,-3378,1492
3579,-94,12,-2679,-4049,1670
3506,-41,-170,-1831,-2532,1963
3574,-110,-157,-394,-231,1362
3643,-189,31,232,639,1707
3564,-180,361,-715,-2299,3115
3528,-171,454,-1525,-4835,3837
3584,-194,472,-2405,-6618,3426
3523,-42,330,-2642,-6988,2486
3453,0,99,-2654,-5324,2335
3584,-39,63,-2375,-3447,1972
3592,84,138,-981,-1894,1524
3397,114,389,-577,-2848,2383
3197,167,645,-335,-5208,3526
3034,106,456,-856,-6827,5337
3099,-39,178,-2661,-6998,5709
3294,-105,156,-3651,-6937,5008
3218,22,203,-3724,-6986,4956
3184,-151,121,-3617,-6726,4925
3016,-191,149,-3574,-8161,5242
3067,-230,148,-4531,-8767,4767
3248,-236,-74,-5108,-12247,5614
3334,-246,-415,-6787,-12629,5881
3803,-399,-709,-7368,-14004,5710
4216,-525,-898,-3293,-13729,7124
4683,-593,-728,286,-9679,5573
4450,114,-124,6403,-3363,6534
3309,556,668,9430,5130,11716
926,101,-175,4951,2672,15227
25,2,-73,4998,2227,15196
45,-33,-107,4961,1999,15878
-28,-1,-180,4959,1968,16237
-33,-20,-238,4805,1844,16810
-29,-5,-215,4878,1833,17167
-26,-9,-204,4780,1726,17728
-2,-11,-209,4801,1748,18083
3,-20,-214,4746,1667,18565
4,-11,-232,4673,1748,18876
7,-18,-227,4618,1759,19299
10,-29,-203,4542,1781,19605
15,-32,-222,4483,1824,19890
2,-27,-227,4406,1911,20125
0,-30,-228,4312,1978,20342
10,-39,-227,4236,2054,20558
4,-30,-209,4170,2146,20780
8,-52,-224,4057,2186,20924
12,-34,-238,3956,2218,21084
23,-54,-227,3870,2284,21196
23,-65,-246,3746,2363,21286
34,-48,-233,3656,2406,21355
31,-48,-224,3557,2499,21404
27,-51,-224,3473,2584,21413
37,-66,-220,3385,2649,21441
32,-56,-245,3289,2714,21467
29,-55,-210,3220,2797,21481
25,-63,-212,3106,2794,21471
13,-68,-227,2993,2826,21457
31,-64,-215,2887,2872,21413
36,-65,-210,2817,2914,21362
27,-55,-236,2724,2958,21273
29,-73,-216,2663,2983,21194
43,-70,-214,2567,3046,21111
28,-64,-231,2539,3077,21026
37,-54,-217,2476,3107,20888
48,-66,-232,2399,3107,20746
42,-66,-205,2370,3091,20638
51,-66,-220,2318,3097,20443
32,-72,-221,2252,3100,20271
38,-74,-244,2200,3137,20126
